date,elevation,evaporation,latitude,longitude,precipitation,pressure,soil_moisture,temperature,water_area_km2,wind_speed,humidity,precip_3day_avg,precip_7day_avg,temp_3day_avg,soil_3day_avg,day_of_year,month,year,is_monsoon,water_area_change,water_area_pct_change,days_since_last_flood,flood_event
1/1/2022,109.1929732,-0.000374668,26.24925128,68,0.016561615,100881.3274,0.121050657,15.01658176,0,2.390465819,60.27172789,0.016561615,0.016561615,15.01658176,0.121050657,1,1,2022,0,0,0,0,0
1/2/2022,109.1929732,-0.00033504,26.24925128,68,0.004602942,100752.3197,0.114194167,15.42699373,659.5155971,3.202759287,56.80185597,0.010582279,0.010582279,15.22178774,0.117622412,2,1,2022,0,659.5155971,inf,0,0
1/2/2022,109.1929732,-0.00033504,26.24925128,68,0.004602942,100752.3197,0.114194167,15.42699373,1051.165146,3.202759287,56.80185597,0.008589166,0.008589166,15.29018974,0.116479664,2,1,2022,0,391.6495494,0.593844256,0,1
1/3/2022,109.1929732,-0.00027643,26.24925128,68,0.102402041,100545.9193,0.10837922,16.14407123,796.4521451,2.545168685,57.42233765,0.037202642,0.032042385,15.66601957,0.112255852,3,1,2022,0,-254.7130014,-0.242314923,0,1
1/4/2022,109.1929732,-0.000329307,26.24925128,68,1.417323401,100431.6104,0.164241712,15.17651288,541.7391437,1.857984559,70.49700142,0.508109461,0.309098588,15.58252595,0.128938367,4,1,2022,0,-254.7130014,-0.319809549,1,0
1/5/2022,109.1929732,-0.00056623,26.24925128,68,0.058505169,100229.5068,0.327211159,15.07810892,287.0261424,0.579040764,84.9490918,0.52607687,0.267333018,15.46623101,0.19994403,5,1,2022,0,-254.7130014,-0.470176476,2,0
1/6/2022,109.1929732,-0.000694363,26.24925128,68,0.495588062,100190.6497,0.316230618,15.42683273,32.31314103,1.405642878,85.01278245,0.657138878,0.299940882,15.22715151,0.26922783,6,1,2022,0,-254.7130014,-0.887420913,3,0
1/6/2022,109.1929732,-0.000694363,26.24925128,68,0.495588062,100190.6497,0.316230618,15.42683273,111.6117256,1.405642878,85.01278245,0.349893765,0.368373231,15.31059146,0.319890798,6,1,2022,0,79.29858452,2.454066116,4,0
1/7/2022,109.1929732,-0.00091419,26.24925128,68,0.015212917,100223.1072,0.338370361,12.67137206,74.49257172,2.341025464,80.08952867,0.335463014,0.369888942,14.50834584,0.323610532,7,1,2022,0,-37.11915383,-0.332573963,5,0
1/8/2022,109.1929732,-0.000944123,26.24925128,68,1.12E-05,100339.8561,0.296742214,13.39201547,37.37341789,0.09345925,72.19065931,0.170270719,0.369232976,13.83007342,0.317114397,8,1,2022,0,-37.11915383,-0.49829336,6,0
1/9/2022,109.1929732,-0.000858569,26.24925128,68,0.000423504,100535.9482,0.274042716,13.10042072,0.25426406,0.666544361,75.05791648,0.005215866,0.354664613,13.05460275,0.303051764,9,1,2022,0,-37.11915383,-0.99319666,7,0
1/10/2022,109.1929732,-0.000885121,26.24925128,68,0,100623.8689,0.25690644,14.01680974,444.9443012,0.624185753,70.5207182,0.000144893,0.152189842,13.50308198,0.275897123,10,1,2022,0,444.6900371,1748.929978,8,0
1/11/2022,109.1929732,-0.000881576,26.24925128,68,0,100726.3533,0.241917055,13.52768821,889.6343383,1.521418111,71.99833843,0.000141168,0.14383196,13.54830622,0.257622071,11,1,2022,0,444.6900371,0.999428549,0,1
1/11/2022,109.1929732,-0.000881576,26.24925128,68,0,100726.3533,0.241917055,13.52768821,869.3658863,1.521418111,71.99833843,0,0.073033666,13.69072872,0.246913517,11,1,2022,0,-20.268452,-0.022782902,0,1
1/12/2022,109.1929732,-0.000851316,26.24925128,68,0,100591.5283,0.228841604,14.12038805,707.1709536,0.121034112,66.30391018,0,0.002235371,13.72525482,0.237558572,12,1,2022,0,-162.1949327,-0.18656694,1,0
1/13/2022,109.1929732,-0.000865489,26.24925128,68,0,100529.8843,0.216699737,14.17468706,544.9760209,0.769752708,64.15002873,0,6.21E-05,13.9409211,0.229152799,13,1,2022,0,-162.1949327,-0.229357459,2,0
1/14/2022,109.1929732,-0.000865009,26.24925128,68,0,100654.5598,0.204971739,13.85334201,382.7810881,2.003695935,69.77053687,0,6.05E-05,14.04947237,0.216837693,14,1,2022,0,-162.1949327,-0.297618476,3,0
1/14/2022,109.1929732,-0.000865009,26.24925128,68,0,100654.5598,0.204971739,13.85334201,963.4093883,2.003695935,69.77053687,0,0,13.96045703,0.208881072,14,1,2022,0,580.6283002,1.516867782,0,1
1/15/2022,109.1929732,-0.000838083,26.24925128,68,0,100716.1579,0.194141249,14.01354019,751.1194674,2.367293348,71.54299491,0,0,13.90674141,0.201361576,15,1,2022,0,-212.2899209,-0.220352763,1,0
1/16/2022,109.1929732,-0.000832378,26.24925128,68,0.043264987,100736.8615,0.183944348,14.61533684,538.8295465,2.608556805,68.27094184,0.014421662,0.006180712,14.16073968,0.194352446,16,1,2022,0,-212.2899209,-0.282631366,2,0
1/17/2022,109.1929732,-0.000823095,26.24925128,68,0.000762498,100790.9514,0.173974278,15.46386834,326.5396255,2.158797998,67.9051537,0.014675828,0.006289641,14.69758179,0.184019958,17,1,2022,0,-212.2899209,-0.393983445,3,0
1/18/2022,109.1929732,-0.000776169,26.24925128,68,0.036378569,100647.2887,0.165145641,15.7419097,114.2497046,1.376305658,68.50646909,0.026802018,0.011486579,15.27370496,0.174354756,18,1,2022,0,-212.2899209,-0.650119937,4,0
1/18/2022,109.1929732,-0.000776169,26.24925128,68,0.036378569,100647.2887,0.165145641,15.7419097,230.9547891,1.376305658,68.50646909,0.024506546,0.016683518,15.64922924,0.16808852,18,1,2022,0,116.7050845,1.021491345,5,0
1/19/2022,109.1929732,-0.000671628,26.24925128,68,0.054655982,100111.1798,0.157809546,17.17088456,154.3510414,0.776090092,67.68778123,0.04247104,0.024491515,16.21823465,0.162700276,19,1,2022,0,-76.60374769,-0.331682872,6,0
1/20/2022,109.1929732,-0.000715493,26.24925128,68,0.00011288,99840.22143,0.150780897,17.66232875,77.74729369,0.327933903,73.60692335,0.030382477,0.024507641,16.85837434,0.157912028,20,1,2022,0,-76.60374769,-0.496295632,7,0
